"_N10_Nuria_S301_L001"	"_N11_Nuria_S302_L001"	"_N12_Nuria_S303_L001"	"_N1_Nuria_S292_L001"	"_N2_Nuria_S293_L001"	"_N3_Nuria_S294_L001"	"_N4_Nuria_S295_L001"	"_N5_Nuria_S296_L001"	"_N6_Nuria_S297_L001"	"_N7_Nuria_S298_L001"	"_N8_Nuria_S299_L001"	"_N9_Nuria_S300_L001"
"kai__2304692"	0	0	0	0	0	0	0	0	0.011983	0	0	0
"kai__0044748"	0	0	0	0	0	0	0	0	0.011931	0	0	0
"kai__1929045"	0	0	0	0	0	0	0	0	0.011879	0	0	0
"kai__0035829"	0	0	0	0	0	0	0	0	0.011565	0	0	0
"kai__0079206"	0	0	0	0	0	0	0	0	0.011377	0	0	0
"kai__1980693"	0	0	0	0	0	0	0	0	0.011053	0	0	0
"kai__1855714"	0	0	0	0	0	0	0	0	0.010132	0	0	0
"kai__1926677"	0	0	0	0	0	0	0	0	0.010049	0.001013	0	0
"kai__1470349"	0	0	0	0	0	0	0	0	0.009808	0	0	0
"kai__0028050"	0	0	0	0	0	0	0	0	0.009683	0	0	0
"kai__0100175"	0	0	0	0	0	0	0	0	0.009683	0	0	0
"kai__0001266"	0	0	0	0	0	0	0	0	0.008961	0	0	0
"kai__0596767"	0	0	0	0	0	0	0	0	0.008846	0	0	0
"kai__0698776"	0	0	0	0	0	0	0	0	0.008836	0	0	0
"kai__1987016"	0	0	0	0	0	0	0	0	0.008658	0	0	0
"kai__2163168"	0	0	0	0	0	0	0	0	0.00847	0	0	0
"kai__0158846"	0	0	0	0	0	0	0	0	0.008198	0	0	0
"kai__0002383"	0	0	0	0	0	0	0	0	0.008146	0	0	0
"kai__1164882"	0	0	0	0	0	0	0	0	0.008093	0	0	0
"kai__0001380"	0	0	0	0	0	0	0	0	0.007884	0	0	0
"kai__0135858"	0	0	0	0	0	0	0	0	0.007686	0	0	0
"kai__1987749"	0	0	0	0	0	0	0	0	0.007623	0	0	0
"kai__0264995"	0	0	0	0	0	0	0	0	0.007571	0	0	0
"kai__0653683"	0	0	0	0	0	0	0	0	0.00755	0	0	0
"kai__0195950"	0	0	0	0	0	0	0	0	0.007403	0.000572	0	0
"kai__0258514"	0	0	0	0	0	0	0	0	0.00709	0	0	0
"kai__0390805"	0	0	0	0	0	0	0	0	0.006954	0	0	0
"kai__1769710"	0	0	0	0	0	0	0	0	0.006954	0	0	0
"kai__1470353"	0	0	0	0	0	0	0	0	0.006891	0	0	0
"kai__1348911"	0	0	0	0	0	0	0	0	0.006797	0.001629	0.009925	0
"kai__0123375"	0	0	0	0	0	0	0	0	0.006713	0	0	0
"kai__1892380"	0	0	0	0	0	0	0	0	0.006713	0	0	0
"kai__0033951"	0	0	0	0	0	0	0	0	0.006441	0.000528	0	0
"kai__1738645"	0	0	0	0	0	0	0	0	0.006243	0	0	0
"kai__0508459"	0	0	0	0	0	0	0	0	0.006075	0	0	0
"kai__0036853"	0	0	0	0	0	0	0	0	0.00595	0	0	0
"kai__1926556"	0	0	0	0	0	0	0	0	0.005709	0	0	0
"kai__1348611"	0	0	0	0	0	0	0	0	0.005667	0	0	0
"kai__0001562"	0	0	0	0	0	0	0	0	0.005416	0.000572	0	0
"kai__0651554"	0	0	0	0	0	0	0	0	0.00526	0	0	0
"kai__0044258"	0	0	0	0	0	0	0	0	0.005113	0	0	0
"kai__0043996"	0	0	0	0	0	0	0	0	0.00504	0.000484	0	0
"kai__1981028"	0	0	0	0	0	0	0	0	0.005009	0	0	0
"kai__0001257"	0	0	0	0	0	0	0	0	0.004956	0	0	0
"kai__2304693"	0	0	0	0	0	0	0	0	0.004925	0	0	0
"kai__0253238"	0	0	0	0	0	0	0	0	0.004915	0	0	0
"kai__0002034"	0	0	0	0	0	0	0	0	0.004904	0.000792	0	0
"kai__0399320"	0	0	0	0	0	0	0	0	0.004695	0	0	0
"kai__1407607"	0	0	0	0	0	0	0	0	0.004643	0	0	0
"kai__0638847"	0	0	0	0	0	0	0	0	0.004632	0	0	0
"kai__0177971"	0	0	0	0	0	0	0	0	0.00459	0	0	0
"kai__0140625"	0	0	0	0	0	0	0	0	0.004559	0	0	0
"kai__0329857"	0	0	0	0	0	0	0	0	0.004496	0	0	0
"kai__0002375"	0	0	0	0	0	0	0	0	0.004434	0	0	0
"kai__1573535"	0	0	0	0	0	0	0	0	0.004413	0	0	0
"kai__2060094"	0	0	0	0	0	0	0	0	0.00435	0	0	0
"kai__2126002"	0	0	0	0	0	0	0	0	0.004256	0	0	0
"kai__0031980"	0	0	0	0	0	0	0	0	0.004193	0	0	0
"kai__0039948"	0	0	0	0	0	0	0	0	0.004172	0	0	0
"kai__0082373"	0	0	0	0	0	0	0	0	0.00412	0	0	0
"kai__2005386"	0	0	0	0	0	0	0	0	0.004109	0	0	0
"kai__1780122"	0	0	0	0	0	0	0	0	0.004068	0	0	0
"kai__1486725"	0	0	0	0	0	0	0	0	0.003973	0	0	0
"kai__2304691"	0	0	0	0	0	0	0	0	0.003932	0	0	0
"kai__0040544"	0	0	0	0	0	0	0	0	0.003743	0	0	0
"kai__0519427"	0	0	0	0	0	0	0	0	0.003681	0	0	0
"kai__0055080"	0	0	0	0	0	0	0	0	0.00366	0	0	0
"kai__0115543"	0	0	0	0	0	0	0	0	0.00366	0	0	0
"kai__1923867"	0	0	0	0	0	0	0	0	0.003618	0	0	0
"kai__1918540"	0	0	0	0	0	0	0	0	0.003607	0	0	0
"kai__0114627"	0	0	0	0	0	0	0	0	0.003566	0	0	0
"kai__0239934"	0	0	0	0	0	0	0	0	0.003524	0	0	0
"kai__1408818"	0	0	0	0	0	0	0	0	0.003461	0	0	0
"kai__0028895"	0	0	0	0	0	0	0	0	0.00344	0	0	0
"kai__1213720"	0	0	0	0	0	0	0	0	0.003346	0	0	0
"kai__2304687"	0	0	0	0	0	0	0	0	0.003336	0	0	0
"kai__0044000"	0	0	0	0	0	0	0	0	0.003221	0	0	0
"kai__1973274"	0	0	0	0	0	0	0	0	0.00321	0	0	0
"kai__2060871"	0	0	0	0	0	0	0	0	0.00321	0	0	0
"kai__0715222"	0	0	0	0	0	0	0	0	0.003189	0	0	0
"kai__0001647"	0	0	0	0	0	0	0	0	0.003158	0	0	0
"kai__0056112"	0	0	0	0	0	0	0	0	0.003158	0	0	0
"kai__0109326"	0	0	0	0	0	0	0	0	0.003137	0	0	0
"kai__1472649"	0	0	0	0	0	0	0	0	0.003106	0	0	0
"kai__0061434"	0	0	0	0	0	0	0	0	0.003095	0	0	0
"kai__0079328"	0	0	0	0	0	0	0	0	0.003074	0	0	0
"kai__0112902"	0	0	0	0	0	0	0	0	0.003074	0	0	0
"kai__1766253"	0	0	0	0	0	0	0	0	0.003074	0	0	0
"kai__1935192"	0	0	0	0	0	0	0	0	0.003032	0	0	0
"kai__0029330"	0	0	0	0	0	0	0	0	0.003011	0	0	0
"kai__1273095"	0	0	0	0	0	0	0	0	0.002938	0	0	0
"kai__0002330"	0	0	0	0	0	0	0	0	0.002928	0	0	0
"kai__0113286"	0	0	0	0	0	0	0	0	0.002928	0	0	0
"kai__1155385"	0	0	0	0	0	0	0	0	0.002907	0	0	0
"kai__0174708"	0	0	0	0	0	0	0	0	0.002865	0	0	0
"kai__1279388"	0	0	0	0	0	0	0	0	0.002823	0.000616	0	0
"kai__0041273"	0	0	0	0	0	0	0	0	0.00275	0	0	0
"kai__0270497"	0	0	0	0	0	0	0	0	0.002698	0	0	0
"kai__1922299"	0	0	0	0	0	0	0	0	0.002698	0	0	0
"kai__0165812"	0	0	0	0	0	0	0	0	0.002635	0	0	0
"kai__0252965"	0	0	0	0	0	0	0	0	0.002625	0	0	0
"kai__0040840"	0	0	0	0	0	0	0	0	0.002614	0	0	0
"kai__1929083"	0	0	0	0	0	0	0	0	0.002593	0	0	0
"kai__0055079"	0	0	0	0	0	0	0	0	0.002572	0	0	0
"kai__1185408"	0	0	0	0	0	0	0	0	0.002562	0	0	0
"kai__1729679"	0	0	0	0	0	0	0	0	0.00252	0	0	0
"kai__0086331"	0	0	0	0	0	0	0	0	0.00251	0	0	0
"kai__1481960"	0	0	0	0	0	0	0	0	0.002499	0	0	0
"kai__0862261"	0	0	0	0	0	0	0	0	0.002489	0	0	0
"kai__2039302"	0	0	0	0	0	0	0	0	0.002395	0	0	0
"kai__0667112"	0	0	0	0	0	0	0	0	0.002374	0	0	0
"kai__1161127"	0	0	0	0	0	0	0	0	0.002353	0	0	0
"kai__1434006"	0	0	0	0	0	0	0	0	0.002353	0	0	0
"kai__0031983"	0	0	0	0	0	0	0	0	0.002332	0	0	0
"kai__0000862"	0	0	0	0	0	0	0	0	0.002311	0	0	0
"kai__0002172"	0	0	0	0	0	0	0	0	0.00228	0.003478	0.011249	0
"kai__0059732"	0	0	0	0	0	0	0	0	0.00228	0.00066	0	0
"kai__0674963"	0	0	0	0	0	0	0	0	0.00228	0	0	0
"kai__0190972"	0	0	0	0	0	0	0	0	0.002259	0	0	0
"kai__1849828"	0	0	0	0	0	0	0	0	0.002238	0	0	0
"kai__0156973"	0	0	0	0	0	0	0	0	0.002196	0.000704	0.006617	0
"kai__0184869"	0	0	0	0	0	0	0	0	0.002196	0	0	0
"kai__0001754"	0	0	0	0	0	0	0	0	0.002144	0	0	0
"kai__0084567"	0	0	0	0	0	0	0	0	0.002112	0.001409	0	0
"kai__1937664"	0	0	0	0	0	0	0	0	0.002112	0	0	0
"kai__0002753"	0	0	0	0	0	0	0	0	0.002091	0	0	0
"kai__0044261"	0	0	0	0	0	0	0	0	0.002091	0	0	0
"kai__2126548"	0	0	0	0	0	0	0	0	0.002091	0	0	0
"kai__1937008"	0	0	0	0	0	0	0	0	0.002018	0	0	0
"kai__0365348"	0	0	0	0	0	0	0	0	0.002008	0	0	0
"kai__0044260"	0	0	0	0	0	0	0	0	0.001976	0	0	0
"kai__2316020"	0	0	0	0	0	0	0	0	0.001966	0	0	0
"kai__1926663"	0	0	0	0	0	0	0	0	0.001945	0	0	0
"kai__1505652"	0	0	0	0	0	0	0	0	0.001893	0	0	0
"kai__0013687"	0	0	0	0	0	0	0	0	0.001882	0.000704	0	0
"kai__0419014"	0	0	0	0	0	0	0	0	0.001861	0	0	0
"kai__0000890"	0	0	0	0	0	0	0	0	0.00183	0	0	0
"kai__0084162"	0	0	0	0	0	0	0	0	0.00183	0	0	0
"kai__0696745"	0	0	0	0	0	0	0	0	0.00183	0	0	0
"kai__1279384"	0	0	0	0	0	0	0	0	0.00183	0	0	0
"kai__0028231"	0	0	0	0	0	0	0	0	0.001819	0	0	0
"kai__0076008"	0	0	0	0	0	0	0	0	0.001809	0	0	0
"kai__0084034"	0	0	0	0	0	0	0	0	0.001809	0	0	0
"kai__0218204"	0	0	0	0	0	0	0	0	0.001809	0	0	0
"kai__0499228"	0	0	0	0	0	0	0	0	0.001799	0	0	0
"kai__1427376"	0	0	0	0	0	0	0	0	0.001788	0	0	0
"kai__0150022"	0	0	0	0	0	0	0	0	0.001778	0	0	0
"kai__2005355"	0	0	0	0	0	0	0	0	0.001778	0	0	0
"kai__0214904"	0	0	0	0	0	0	0	0	0.001767	0	0	0
"kai__1505660"	0	0	0	0	0	0	0	0	0.001767	0	0	0
"kai__0415014"	0	0	0	0	0	0	0	0	0.001746	0	0	0
"kai__1611681"	0	0	0	0	0	0	0	0	0.001746	0	0	0
"kai__0001298"	0	0	0	0	0	0	0	0	0.001725	0.007925	0	0
"kai__0043994"	0	0	0	0	0	0	0	0	0.001725	0	0	0
"kai__1913599"	0	0	0	0	0	0	0	0	0.001725	0	0	0
"kai__0648799"	0	0	0	0	0	0	0	0	0.001715	0	0	0
"kai__0178898"	0	0	0	0	0	0	0	0	0.001704	0	0	0
"kai__2282740"	0	0	0	0	0	0	0	0	0.001704	0	0	0
"kai__1689250"	0	0	0	0	0	0	0	0	0.001683	0	0	0
"kai__1302778"	0	0	0	0	0	0	0	0	0.001673	0	0	0
"kai__1884930"	0	0	0	0	0	0	0	0	0.001652	0	0	0
"kai__0001569"	0	0	0	0	0	0	0	0	0.001631	0	0	0
"kai__1912503"	0	0	0	0	0	0	0	0	0.001631	0	0	0
"kai__2082587"	0	0	0	0	0	0	0	0	0.001579	0	0	0
"kai__1505657"	0	0	0	0	0	0	0	0	0.001568	0	0	0
"kai__1769729"	0	0	0	0	0	0	0	0	0.001568	0	0	0
"kai__0002316"	0	0	0	0	0	0	0	0	0.001548	0	0	0
"kai__0704093"	0	0	0	0	0	0	0	0	0.001506	0	0	0
"kai__0118966"	0	0	0	0	0	0	0	0	0.001485	0	0	0
"kai__1929297"	0	0	0	0	0	0	0	0	0.001474	0	0	0
"kai__1505664"	0	0	0	0	0	0	0	0	0.001464	0	0	0
"kai__0181069"	0	0	0	0	0	0	0	0	0.001453	0	0	0
"kai__0089958"	0	0	0	0	0	0	0	0	0.001443	0	0	0
"kai__0580024"	0	0	0	0	0	0	0	0	0.001443	0	0	0
"kai__1924062"	0	0	0	0	0	0	0	0	0.001443	0	0	0
"kai__0448125"	0	0	0	0	0	0	0	0	0.001412	0	0	0
"kai__1926659"	0	0	0	0	0	0	0	0	0.001401	0	0.006617	0
"kai__0146813"	0	0	0	0	0	0	0	0	0.001391	0	0	0
"kai__0000893"	0	0	0	0	0	0	0	0	0.00137	0	0	0
"kai__0186831"	0	0	0	0	0	0	0	0	0.00137	0	0	0
"kai__2093783"	0	0	0	0	0	0	0	0	0.00137	0	0	0
"kai__2498454"	0	0	0	0	0	0	0	0	0.00137	0	0	0
"kai__0306539"	0	0	0	0	0	0	0	0	0.001359	0	0	0
"kai__0001016"	0	0	0	0	0	0	0	0	0.001349	0	0	0
"kai__0033986"	0	0	0	0	0	0	0	0	0.001349	0.000616	0	0.003235
"kai__1930845"	0	0	0	0	0	0	0	0	0.001349	0	0	0
"kai__1637257"	0	0	0	0	0	0	0	0	0.001338	0	0	0
"kai__1486726"	0	0	0	0	0	0	0	0	0.001328	0	0	0
"kai__0083770"	0	0	0	0	0	0	0	0	0.001318	0	0	0
"kai__1283313"	0	0	0	0	0	0	0	0	0.001318	0	0	0
"kai__0000379"	0	0	0	0	0	0	0	0	0.001307	0.000837	0	0.003698
"kai__0043668"	0	0	0	0	0	0	0	0	0.001297	0.281158	0.017866	0
"kai__0577309"	0	0	0	0	0	0	0	0	0.001286	0.00044	0	0
"kai__0000445"	0	0	0	0	0	0	0	0	0.001276	0	0	0
"kai__0000866"	0	0	0	0	0	0	0	0	0.001276	0	0	0
"kai__0028453"	0	0	0	0	0	0	0	0	0.001265	0.012548	0	0
"kai__0001378"	0	0	0	0	0	0	0	0	0.001255	0.00044	0	0
"kai__0002373"	0	0	0	0	0	0	0	0	0.001255	0	0	0
"kai__0171003"	0	0	0	0	0	0	0	0	0.001255	0	0	0
"kai__0553372"	0	0	0	0	0	0	0	0	0.001255	0	0	0
"kai__1715798"	0	0	0	0	0	0	0	0	0.001244	0	0	0
"kai__0293136"	0	0	0	0	0	0	0	0	0.001234	0	0	0
"kai__1347386"	0	0	0	0	0	0	0	0	0.001234	0	0	0
"kai__1769713"	0	0	0	0	0	0	0	0	0.001223	0	0	0
"kai__0032068"	0	0	0	0	0	0	0	0	0.001213	0	0	0
"kai__0051514"	0	0	0	0	0	0	0	0	0.001213	0	0	0
"kai__0055506"	0	0	0	0	0	0	0	0	0.001202	0	0	0
"kai__1193503"	0	0	0	0	0	0	0	0	0.001182	0	0	0
"kai__1935188"	0	0	0	0	0	0	0	0	0.001182	0	0	0
"kai__0117563"	0	0	0	0	0	0	0	0	0.001161	0	0	0
"kai__0065402"	0	0	0	0	0	0	0	0	0.00115	0	0	0
"kai__0274470"	0	0	0	0	0	0	0	0	0.00115	0	0	0
"kai__0423349"	0	0	0	0	0	0	0	0	0.00115	0	0	0
"kai__0040323"	0	0	0	0	0	0	0	0	0.00114	0.000881	0	0
"kai__0000146"	0	0	0	0	0	0	0	0	0.001129	0	0	0
"kai__0285105"	0	0	0	0	0	0	0	0	0.001129	0	0	0
"kai__1911556"	0	0	0	0	0	0	0	0	0.001129	0	0	0
"kai__0000713"	0	0	0	0	0	0	0	0	0.001108	0	0	0
"kai__0200903"	0	0	0	0	0	0	0	0	0.001108	0	0	0
"kai__0253255"	0	0	0	0	0	0	0	0	0.001108	0	0	0
"kai__0002740"	0	0	0	0	0	0	0	0	0.001098	0	0	0
"kai__0051196"	0	0	0	0	0	0	0	0	0.001098	0	0	0
"kai__0002050"	0	0	0	0	0	0	0	0	0.001077	0	0	0
"kai__2004411"	0	0	0	0	0	0	0	0	0.001067	0	0	0
"kai__1403538"	0	0	0	0	0	0	0	0	0.001056	0	0	0
"kai__0069894"	0	0	0	0	0	0	0	0	0.001046	0	0	0
"kai__0456492"	0	0	0	0	0	0	0	0	0.001046	0	0	0
"kai__1472763"	0	0	0	0	0	0	0	0	0.001035	0	0	0
"kai__1980038"	0	0	0	0	0	0	0	0	0.001035	0	0	0.006009
"kai__0048736"	0	0	0	0	0	0	0	0	0.001025	0	0	0
"kai__0166484"	0	0	0	0	0	0	0	0	0.001025	0	0	0
"kai__0001847"	0	0	0	0	0	0	0	0	0.001014	0.00044	0	0
"kai__0002207"	0	0	0	0	0	0	0	0	0.001014	0	0	0
"kai__1473205"	0	0	0	0	0	0	0	0	0.001014	0	0	0
"kai__0042447"	0	0	0	0	0	0	0	0	0.001004	0	0	0
"kai__0083768"	0	0	0	0	0	0	0	0	0.000993	0	0	0
"kai__0432330"	0	0	0	0	0	0	0	0	0.000993	0	0	0
"kai__0028033"	0	0	0	0	0	0	0	0	0.000983	0	0	0
"kai__0055968"	0	0	0	0	0	0	0	0	0.000983	0.001805	0	0
"kai__1329200"	0	0	0	0	0	0	0	0	0.000983	0	0	0
"kai__2282741"	0	0	0	0	0	0	0	0	0.000983	0	0	0
"kai__0082202"	0	0	0	0	0	0	0	0	0.000972	0	0	0
"kai__0249529"	0	0	0	0	0	0	0	0	0.000972	0	0	0
"kai__1929105"	0	0	0	0	0	0	0	0	0.000972	0	0	0
"kai__2126544"	0	0	0	0	0	0	0	0	0.000972	0	0	0
"kai__0041707"	0	0	0	0	0	0	0	0	0.000962	0	0	0
"kai__0180162"	0	0	0	0	0	0	0	0	0.000962	0	0	0
"kai__0044259"	0	0	0	0	0	0	0	0	0.000952	0	0	0
"kai__0001839"	0	0	0	0	0	0	0	0	0.000941	0.001013	0	0
"kai__0106589"	0	0	0	0	0	0	0	0	0.000931	0	0	0
"kai__0191373"	0	0	0	0	0	0	0	0	0.000931	0	0	0
"kai__1980680"	0	0	0	0	0	0	0	0	0.000931	0	0	0
"kai__0940557"	0	0	0	0	0	0	0	0	0.00092	0	0	0
"kai__1884934"	0	0	0	0	0	0	0	0	0.00092	0	0	0
"kai__0000657"	0	0	0	0	0	0	0	0	0.00091	0	0	0.003698
"kai__0029331"	0	0	0	0	0	0	0	0	0.00091	0	0	0.002542
"kai__0079603"	0	0	0	0	0	0	0	0	0.00091	0	0	0
"kai__0256818"	0	0	0	0	0	0	0	0	0.00091	0.001805	0	0
"kai__1980675"	0	0	0	0	0	0	0	0	0.000889	0	0	0
"kai__0013334"	0	0	0	0	0	0	0	0	0.000878	0	0	0
"kai__0046468"	0	0	0	0	0	0	0	0	0.000878	0	0	0
"kai__2282742"	0	0	0	0	0	0	0	0	0.000878	0	0	0
"kai__1069494"	0	0	0	0	0	0	0	0	0.000868	0	0	0
"kai__1973275"	0	0	0	0	0	0	0	0	0.000868	0	0	0
"kai__2042899"	0	0	0	0	0	0	0	0	0.000868	0	0	0
"kai__0000724"	0	0	0	0	0	0	0	0	0.000857	0.001189	0	0
"kai__0236752"	0	0	0	0	0	0	0	0	0.000857	0	0	0
"kai__0427925"	0	0	0	0	0	0	0	0	0.000857	0	0	0
"kai__0156454"	0	0	0	0	0	0	0	0	0.000847	0	0	0
"kai__0248038"	0	0	0	0	0	0	0	0	0.000847	0	0	0
"kai__1933048"	0	0	0	0	0	0	0	0	0.000847	0	0	0
"kai__0002023"	0	0	0	0	0	0	0	0	0.000826	0	0	0
"kai__0001101"	0	0	0	0	0	0	0	0	0.000805	0	0	0
"kai__0033870"	0	0	0	0	0	0	0	0	0.000805	0	0	0
"kai__0278993"	0	0	0	0	0	0	0	0	0.000795	0	0	0
"kai__1822464"	0	0	0	0	0	0	0	0	0.000795	0.00044	0	0.004391
"kai__0157226"	0	0	0	0	0	0	0	0	0.000784	0	0	0
"kai__2494209"	0	0	0	0	0	0	0	0	0.000784	0	0	0
"kai__0047054"	0	0	0	0	0	0	0	0	0.000774	0	0	0
"kai__0140458"	0	0	0	0	0	0	0	0	0.000774	0	0	0
"kai__0561442"	0	0	0	0	0	0	0	0	0.000774	0	0	0
"kai__1543703"	0	0	0	0	0	0	0	0	0.000774	0	0	0
"kai__1794910"	0	0	0	0	0	0	0	0	0.000774	0	0	0
"kai__0028138"	0	0	0	0	0	0	0	0	0.000763	0	0	0.002773
"kai__0196082"	0	0	0	0	0	0	0	0	0.000763	0	0	0
"kai__0045669"	0	0	0	0	0	0	0	0	0.000742	0.001805	0	0
"kai__0076632"	0	0	0	0	0	0	0	0	0.000742	0	0	0
"kai__0120831"	0	0	0	0	0	0	0	0	0.000742	0	0	0
"kai__1981050"	0	0	0	0	0	0	0	0	0.000742	0	0	0
"kai__0000018"	0	0	0	0	0	0	0	0	0.000732	0	0	0
"kai__0028196"	0	0	0	0	0	0	0	0	0.000732	0	0	0
"kai__0000416"	0	0	0	0	0	0	0	0	0.000721	0	0	0
"kai__0028263"	0	0	0	0	0	0	0	0	0.000721	0	0	0
"kai__0342658"	0	0	0	0	0	0	0	0	0.000721	0	0	0
"kai__0346096"	0	0	0	0	0	0	0	0	0.000721	0	0	0
"kai__0423604"	0	0	0	0	0	0	0	0	0.000721	0	0	0
"kai__0471824"	0	0	0	0	0	0	0	0	0.000721	0	0	0
"kai__1769008"	0	0	0	0	0	0	0	0	0.000721	0	0	0
"kai__1640153"	0	0	0	0	0	0	0	0	0.000711	0	0	0
"kai__0000022"	0	0	0	0	0	0	0	0	0.000701	0	0	0
"kai__0227979"	0	0	0	0	0	0	0	0	0.000701	0.038788	0.009264	0
"kai__0000338"	0	0	0	0	0	0	0	0	0.00069	0.000704	0	0
"kai__0059739"	0	0	0	0	0	0	0	0	0.00069	0	0	0
"kai__0129957"	0	0	0	0	0	0	0	0	0.00069	0	0	0
"kai__0577469"	0	0	0	0	0	0	0	0	0.00069	0	0	0
"kai__0046466"	0	0	0	0	0	0	0	0	0.00068	0	0	0
"kai__1930291"	0	0	0	0	0	0	0	0	0.00068	0	0	0
"kai__0000914"	0	0	0	0	0	0	0	0	0.000669	0	0	0
"kai__0471826"	0	0	0	0	0	0	0	0	0.000669	0	0	0
"kai__0995014"	0	0	0	0	0	0	0	0	0.000669	0	0	0
"kai__0034104"	0	0	0	0	0	0	0	0	0.000659	0	0	0
"kai__0459532"	0	0	0	0	0	0	0	0	0.000659	0	0	0
"kai__0340096"	0	0	0	0	0	0	0	0	0.000648	0	0	0
"kai__1945592"	0	0	0	0	0	0	0	0	0.000648	0	0	0
"kai__0648802"	0	0	0	0	0	0	0	0	0.000638	0	0	0
"kai__0046913"	0	0	0	0	0	0	0	0	0.000627	0	0	0
"kai__0168808"	0	0	0	0	0	0	0	0	0.000627	0.00044	0	0
"kai__0233189"	0	0	0	0	0	0	0	0	0.000627	0	0	0
"kai__0246875"	0	0	0	0	0	0	0	0	0.000627	0	0	0
"kai__0002192"	0	0	0	0	0	0	0	0	0.000617	0	0	0
"kai__0120961"	0	0	0	0	0	0	0	0	0.000617	0	0	0
"kai__0159730"	0	0	0	0	0	0	0	0	0.000617	0	0	0
"kai__0000898"	0	0	0	0	0	0	0	0	0.000606	0	0	0
"kai__0001854"	0	0	0	0	0	0	0	0	0.000606	0	0	0
"kai__0057493"	0	0	0	0	0	0	0	0	0.000606	0.004095	0	0
"kai__0099593"	0	0	0	0	0	0	0	0	0.000606	0	0	0
"kai__0118747"	0	0	0	0	0	0	0	0	0.000606	0	0	0
"kai__0000517"	0	0	0	0	0	0	0	0	0.000596	0	0	0
"kai__0002160"	0	0	0	0	0	0	0	0	0.000596	0	0	0
"kai__0072763"	0	0	0	0	0	0	0	0	0.000596	0.001805	0	0
"kai__0129001"	0	0	0	0	0	0	0	0	0.000596	0	0	0
"kai__0337670"	0	0	0	0	0	0	0	0	0.000596	0	0	0
"kai__0000702"	0	0	0	0	0	0	0	0	0.000586	0	0	0
"kai__0001696"	0	0	0	0	0	0	0	0	0.000586	0.052877	0	0
"kai__0265487"	0	0	0	0	0	0	0	0	0.000586	0	0	0
"kai__1184396"	0	0	0	0	0	0	0	0	0.000586	0	0	0
"kai__1276290"	0	0	0	0	0	0	0	0	0.000586	0	0	0
"kai__1471399"	0	0	0	0	0	0	0	0	0.000586	0	0	0
"kai__1979191"	0	0	0	0	0	0	0	0	0.000586	0	0	0
"kai__0289201"	0	0	0	0	0	0	0	0	0.000575	0	0	0
"kai__0165696"	0	0	0	0	0	0	0	0	0.000565	0	0	0
"kai__0000013"	0	0	0	0	0	0	0	0	0.000554	0	0	0
"kai__0332100"	0	0	0	0	0	0	0	0	0.000554	0	0	0
"kai__1433999"	0	0	0	0	0	0	0	0	0.000554	0	0	0
"kai__1765682"	0	0	0	0	0	0	0	0	0.000554	0	0	0
